phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,97318,101285,"1",0,101285,0,"1","0","0","0","",
1,101286,102237,"2",1,102237,0,"0","1","0","0","",
2,102238,103189,"3",2,103189,0,"1","0","0","0","",
3,103190,108936,"4",3,108936,0,"3","2","0","0","",
4,120158,127193,"1",4,127193,0,"3","1","0","0","",
5,127194,128111,"2",5,128111,0,"0","0","0","0","",
6,128112,128111,"3",6,128112,0,"0","0","0","0","",
7,128112,130730,"4",7,130730,0,"1","0","0","0","",
8,141046,145145,"1",8,145145,0,"0","0","0","0","",
9,145146,145927,"2",9,145927,0,"0","0","0","0","",
10,145928,146369,"3",10,146369,0,"0","0","0","0","",
11,146370,148104,"4",11,148104,0,"0","0","0","0","",
12,158696,163233,"1",12,163233,0,"2","1","0","0","",
13,163234,164151,"2",13,164151,0,"0","0","0","0","",
14,164152,164423,"3",14,164423,0,"0","0","0","0","",
15,164424,176392,"4",15,176392,0,"2","1","0","0","",
16,190628,195737,"1",16,195737,0,"2","1","0","0","",
17,195738,196451,"2",17,196451,0,"0","0","0","0","",
18,196452,196451,"3",18,196452,0,"0","0","0","0","",
19,196452,206142,"4",19,206142,0,"2","1","0","0","",
20,224996,230213,"1",20,230213,0,"2","0","0","0","",
21,230214,231097,"2",21,231097,0,"0","0","0","0","",
22,231098,231163,"3",22,231539,0,"0","0","0","0","",
23,231540,242386,"4",23,242386,0,"1","1","0","0","",
24,254326,260267,"1",24,260267,0,"2","1","0","0","",
25,260268,261219,"2",25,261219,0,"0","0","0","0","",
26,261220,261357,"3",26,261357,0,"0","0","0","0","",
27,261358,271048,"4",27,271048,0,"1","3","0","0","",
28,284321,289679,"1",28,289679,0,"1","0","0","0","",
29,289680,290699,"2",29,290699,0,"0","0","0","0","",
30,290700,290699,"3",30,290700,0,"0","0","0","0","",
31,290700,306544,"4",31,306544,0,"4","2","0","0","",
32,327332,332179,"1",32,332179,0,"1","0","0","0","",
33,332180,333096,"2",33,333096,0,"0","0","0","0","",
34,333097,333199,"3",34,333199,0,"0","0","0","0","",
35,333200,343502,"4",35,343502,0,"1","0","0","0","",
36,358296,363560,"1",36,363560,0,"0","0","0","1","child grabs object",
37,363561,364512,"2",37,364512,0,"0","0","0","1","child grabs object",
38,364513,364512,"3",38,364513,0,"0","0","0","1","child grabs object",
39,364513,380970,"4",39,380970,0,"4","6","0","0","",
40,396167,401232,"1",40,401232,0,"1","0","0","0","",
41,401233,402015,"2",41,402015,0,"0","0","0","0","",
42,402016,402320,"3",42,402320,0,"0","0","0","0","",
43,402321,415854,"4",43,415854,0,"3","6","0","0","",
44,426661,431560,"1",44,431560,0,"0","0","0","0","",
45,431561,432445,"2",45,432445,0,"0","0","0","0","",
46,432446,432547,"3",46,432547,0,"0","0","0","0","",
47,432548,434588,"4",47,434588,0,"0","0","0","0","",
