phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,116418,121345,"1",0,121345,0,"1","0","0","0","",
1,121346,122093,"2",1,122093,0,"0","0","0","0","",
2,122094,122535,"3",2,122535,0,"0","0","0","0","",
3,122536,126208,"4",3,126208,0,"0","0","0","0","",
4,141343,146369,"1",4,146369,0,"1","0","0","0","",
5,146370,147083,"2",5,147083,0,"0","0","0","0","",
6,147084,147389,"3",6,147389,0,"0","0","0","0","",
7,147390,160854,"4",7,160854,0,"3","4","0","0","",
8,179014,184245,"1",8,184245,0,"0","0","0","0","",
9,184246,184925,"2",9,184925,0,"0","0","0","0","",
10,184926,185537,"3",10,185537,0,"0","0","0","0","",
11,185538,206958,"4",11,206958,0,"2","1","0","0","",
12,223092,227799,"1",12,227799,0,"1","0","0","0","",
13,227800,228649,"2",13,228649,0,"1","0","0","0","",
14,228650,229363,"3",14,229363,0,"0","0","0","0","",
15,229364,232254,"4",15,232254,0,"0","0","0","0","",
16,253388,258841,"1",16,258841,0,"1","0","0","0","",
17,258842,259521,"2",17,259521,0,"0","0","0","0","",
18,259522,259962,"3",18,259962,0,"0","0","0","0","",
19,259963,294032,"4",19,259963,0,"3","5","0","0","experimenter facilitates end of trial",
20,307910,313104,"1",20,294032,0,"1","0","0","0","",
21,313105,314023,"2",21,314023,0,"1","0","0","0","",
22,314024,314499,"3",22,314499,0,"0","0","0","0","",
23,314500,330344,"4",23,330344,0,"3","4","0","0","",
24,347481,352544,"1",24,352544,0,"1","0","0","0","",
25,352545,353360,"2",25,353360,0,"0","0","0","0","",
26,353361,353768,"3",26,353768,0,"0","0","0","0","",
27,353769,386580,"4",27,386580,0,"3","0","0","1","child distracted by toy",
28,403972,409019,"1",28,409019,0,"0","0","0","0","",
29,409020,409631,"2",29,409631,0,"0","0","0","0","",
30,409632,410243,"3",30,410243,0,"0","0","0","0","",
31,410244,445400,"4",31,445400,0,"3","4","0","0","",
32,464299,469403,"1",32,469403,0,"1","0","0","0","",
33,469404,469947,"2",33,469947,0,"0","0","0","0","",
34,469948,470491,"3",34,470491,0,"0","0","0","0","",
35,470492,506566,"4",35,506566,0,"1","2","0","0","",
36,525494,530705,"1",36,530705,0,"0","0","0","0","",
37,530706,531351,"2",37,531351,0,"0","0","0","0","",
38,531352,532133,"3",38,532133,0,"0","0","0","0","",
39,532134,533834,"4",39,533834,0,"0","0","0","0","",
40,551853,556953,"1",40,556953,0,"0","0","0","0","",
41,556954,557837,"2",41,557837,0,"0","0","0","0","",
42,557838,558210,"3",42,558210,0,"0","0","0","0","",
43,558211,608770,"4",43,608770,0,"7","2","0","1","child distracted by toys",
44,629431,634405,"1",44,634405,0,"0","0","0","0","",
45,634406,635221,"2",45,635221,0,"0","0","0","0","",
46,635222,635730,"3",46,635730,0,"0","0","0","0","",
47,635730,642974,"4",47,642974,0,"0","1","0","0","",
