phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,111378,116517,"1",0,114261,0,"2","0","","","",
1,116518,117367,"2",1,117367,0,"0","0","","","",
2,117368,117877,"3",2,117877,0,"0","0","","","",
3,117878,120938,"4",3,119340,0,"0","0","","","",
4,130844,136135,"1",4,136135,0,"2","0","","","",
5,136136,136985,"2",5,136985,0,"0","0","","","",
6,136986,137597,"3",6,137597,0,"0","0","","","",
7,137598,139468,"4",7,139468,0,"0","0","","","",
8,150030,155753,"1",8,155753,0,"2","0","","","",
9,155754,156603,"2",9,156603,0,"0","0","","","",
10,156604,157181,"3",10,157181,0,"0","0","","","",
11,157182,159732,"4",11,159732,0,"0","0","","","",
12,175255,180199,"1",12,180199,0,"2","0","","","",
13,180200,180981,"2",13,180981,0,"0","0","","","",
14,180982,181695,"3",14,181695,0,"0","0","","","",
15,181696,185300,"4",15,185300,0,"1","0","","","",
16,195842,200905,"1",,,,,,,,,
17,200906,201857,"2",,,,,,,,,
18,201858,202843,"3",,,,,,,,,
19,202844,205802,"4",,,,,,,,,
20,216534,221781,"1",,,,,,,,,
21,221782,222665,"2",,,,,,,,,
22,222666,223243,"3",,,,,,,,,
23,223244,225046,"4",,,,,,,,,
24,236783,242691,"1",,,,,,,,,
25,242692,243609,"2",,,,,,,,,
26,243610,244051,"3",,,,,,,,,
27,244052,246432,"4",,,,,,,,,
28,258036,263465,"1",,,,,,,,,
29,263466,264383,"2",,,,,,,,,
30,264384,264927,"3",,,,,,,,,
31,264928,267750,"4",,,,,,,,,
32,283163,288183,"1",,,,,,,,,
33,288184,289509,"2",,,,,,,,,
34,289510,290120,"3",,,,,,,,,
35,290121,292060,"4",,,,,,,,,
36,308321,313581,"1",,,,,,,,,
37,313582,314431,"2",,,,,,,,,
38,314432,315960,"3",,,,,,,,,
39,315961,318852,"4",,,,,,,,,
40,329943,334967,"1",,,,,,,,,
41,334968,336055,"2",,,,,,,,,
42,336056,336259,"3",,,,,,,,,
43,336260,341224,"4",,,,,,,,,
44,353967,359344,"1",,,,,,,,,
45,359345,360296,"2",,,,,,,,,
46,360297,360807,"3",,,,,,,,,
47,360808,363188,"4",,,,,,,,,
