phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,136228,141065,"1",0,141065,0,"1","","","","",
1,141066,141949,"2",1,141949,0,"0","","","","",
2,141950,142221,"3",2,142221,0,"0","","","","",
3,142222,144738,"4",3,144738,0,"0","","","","",
4,165180,170883,"1",4,170883,0,"1","","","","",
5,170884,171665,"2",5,171665,0,"0","","","","",
6,171666,172141,"3",6,172141,0,"0","","","","",
7,172142,179316,"4",7,179316,0,"0","","","","",
8,189235,195295,"1",8,195295,0,"0","","","","",
9,195296,196043,"2",9,196043,0,"0","","","","",
10,196044,196145,"3",10,196145,0,"0","","","","",
11,196146,200430,"4",11,200430,0,"1","","","","",
12,211226,216851,"1",12,216851,0,"0","","","","",
13,216852,217837,"2",13,217837,0,"0","","","","",
14,217838,218041,"3",14,218041,0,"0","","","","",
15,218042,222224,"4",15,222224,0,"0","","","","",
16,234883,240923,"1",,,,,,,,,
17,240924,241875,"2",,,,,,,,,
18,241876,242113,"3",,,,,,,,,
19,242114,245412,"4",,,,,,,,,
20,255771,263091,"1",,,,,,,,,
21,263092,263907,"2",,,,,,,,,
22,263908,263907,"3",,,,,,,,,
23,263908,273428,"4",,,,,,,,,
24,284566,290087,"1",,,,,,,,,
25,290088,290971,"2",,,,,,,,,
26,290972,290971,"3",,,,,,,,,
27,290972,297126,"4",,,,,,,,,
28,315529,322251,"1",,,,,,,,,
29,322252,322999,"2",,,,,,,,,
30,323000,323304,"3",,,,,,,,,
31,323305,330208,"4",,,,,,,,,
32,348363,353599,"1",,,,,,,,,
33,353600,354381,"2",,,,,,,,,
34,354382,354517,"3",,,,,,,,,
35,354518,357544,"4",,,,,,,,,
36,371720,378248,"1",,,,,,,,,
37,378249,378895,"2",,,,,,,,,
38,378896,378895,"3",,,,,,,,,
39,378896,393040,"4",,,,,,,,,
40,407721,415207,"1",,,,,,,,,
41,415208,416125,"2",,,,,,,,,
42,416126,416125,"3",,,,,,,,,
43,416126,420206,"4",,,,,,,,,
44,435417,440672,"1",,,,,,,,,
45,440673,441624,"2",,,,,,,,,
46,441625,441999,"3",,,,,,,,,
47,442000,444006,"4",,,,,,,,,
